id,di_id,equipment_id,serviceability,remarks
103,5,54,S,No actionable issues identified
104,5,55,S,No actionable issues identified
105,5,56,U,Condition outside preferred threshold
106,6,9,S,Operating within expected limits
107,6,10,S,Routine inspection passed
108,6,11,S,No actionable issues identified
109,6,12,S,Routine inspection passed
110,6,13,S,Operating within expected limits
111,6,14,S,Operating within expected limits
112,6,15,S,No actionable issues identified
113,6,16,S,Operating within expected limits
114,6,17,S,Routine inspection passed
115,6,18,U,Observed variance requiring monitoring
116,6,19,S,Routine inspection passed
117,6,20,S,No actionable issues identified
118,6,21,S,No actionable issues identified
119,6,22,S,Routine inspection passed
120,6,23,S,Operating within expected limits
121,6,24,S,Routine inspection passed
122,6,25,S,Routine inspection passed
123,6,26,U,Flagged for maintenance review
124,6,27,S,Routine inspection passed
125,6,28,S,No actionable issues identified
126,6,29,S,Routine inspection passed
127,6,30,S,No actionable issues identified
128,6,31,S,Operating within expected limits
129,6,32,U,Observed variance requiring monitoring
130,6,33,S,Operating within expected limits
131,6,34,S,Routine inspection passed
132,6,35,S,No actionable issues identified
133,6,36,S,Operating within expected limits
134,6,37,U,Flagged for maintenance review
135,6,38,S,Routine inspection passed
136,6,39,S,Operating within expected limits
137,6,40,U,Flagged for maintenance review
138,6,41,S,Routine inspection passed
139,6,42,S,No actionable issues identified
140,6,43,S,Routine inspection passed
141,6,44,S,Operating within expected limits
142,6,45,S,Operating within expected limits
143,6,46,U,Condition outside preferred threshold
144,6,47,S,No actionable issues identified
145,6,48,S,Operating within expected limits
146,6,49,U,Condition outside preferred threshold
147,6,50,S,Routine inspection passed
148,6,51,S,Operating within expected limits
149,6,52,S,Operating within expected limits
150,6,53,S,Routine inspection passed
151,6,54,S,Routine inspection passed
152,6,55,S,No actionable issues identified
153,6,56,S,No actionable issues identified
154,7,9,S,Operating within expected limits
155,7,10,S,No actionable issues identified
156,7,11,S,Operating within expected limits
157,7,12,S,Operating within expected limits
158,7,13,S,No actionable issues identified
159,7,14,S,Routine inspection passed
160,7,15,S,Operating within expected limits
161,7,16,S,Routine inspection passed
162,7,17,S,No actionable issues identified
163,7,18,S,No actionable issues identified
164,7,19,S,Operating within expected limits
165,7,20,S,Routine inspection passed
166,7,21,S,Routine inspection passed
167,7,22,S,No actionable issues identified
168,7,23,S,No actionable issues identified
169,7,24,S,No actionable issues identified
170,7,25,S,No actionable issues identified
171,7,26,S,Operating within expected limits
172,7,27,S,Routine inspection passed
173,7,28,S,No actionable issues identified
174,7,29,S,Operating within expected limits
175,7,30,S,No actionable issues identified
176,7,31,S,No actionable issues identified
177,7,32,S,Routine inspection passed
178,7,33,S,Operating within expected limits
179,7,34,S,Routine inspection passed
180,7,35,S,Routine inspection passed
181,7,36,S,No actionable issues identified
182,7,37,S,Routine inspection passed
183,7,38,S,Operating within expected limits
184,7,39,U,Observed variance requiring monitoring
185,7,40,U,Condition outside preferred threshold
186,7,41,S,No actionable issues identified
187,7,42,S,Routine inspection passed
188,7,43,S,Routine inspection passed
189,7,44,S,Operating within expected limits
190,7,45,S,Operating within expected limits
191,7,46,S,Routine inspection passed
192,7,47,S,Operating within expected limits
193,7,48,S,Operating within expected limits
194,7,49,S,Routine inspection passed
195,7,50,S,No actionable issues identified
196,7,51,S,No actionable issues identified
197,7,52,S,No actionable issues identified
198,7,53,S,Operating within expected limits
199,7,54,S,No actionable issues identified
200,7,55,S,No actionable issues identified
201,7,56,S,Routine inspection passed
202,8,9,U,Flagged for maintenance review
203,8,10,S,No actionable issues identified
204,8,11,S,Operating within expected limits
205,8,12,S,Operating within expected limits
206,8,13,S,No actionable issues identified
207,8,14,S,Routine inspection passed
208,8,15,S,Routine inspection passed
209,8,16,S,Routine inspection passed
210,8,17,S,Operating within expected limits
211,8,18,S,Operating within expected limits
212,8,19,S,No actionable issues identified
213,8,20,S,Operating within expected limits
214,8,21,S,Routine inspection passed
215,8,22,S,Operating within expected limits
216,8,23,S,No actionable issues identified
217,8,24,S,Operating within expected limits
218,8,25,S,No actionable issues identified
219,8,26,S,Routine inspection passed
220,8,27,S,Routine inspection passed
221,8,28,S,No actionable issues identified
222,8,29,S,No actionable issues identified
223,8,30,U,Flagged for maintenance review
224,8,31,S,Routine inspection passed
225,8,32,S,Operating within expected limits
226,8,33,S,Operating within expected limits
227,8,34,S,No actionable issues identified
228,8,35,U,Observed variance requiring monitoring
229,8,36,S,Routine inspection passed
230,8,37,S,No actionable issues identified
231,8,38,S,No actionable issues identified
232,8,39,S,No actionable issues identified
233,8,40,S,No actionable issues identified
234,8,41,S,Routine inspection passed
235,8,42,S,Routine inspection passed
236,8,43,S,Operating within expected limits
237,8,44,U,Condition outside preferred threshold
238,8,45,S,Routine inspection passed
239,8,46,S,No actionable issues identified
240,8,47,S,Operating within expected limits
241,8,48,S,No actionable issues identified
242,8,49,S,No actionable issues identified
243,8,50,S,No actionable issues identified
244,8,51,S,Routine inspection passed
245,8,52,S,No actionable issues identified
246,8,53,S,No actionable issues identified
247,8,54,S,No actionable issues identified
248,8,55,S,No actionable issues identified
249,8,56,S,No actionable issues identified
250,9,9,S,No actionable issues identified
251,9,10,S,No actionable issues identified
252,9,11,U,Condition outside preferred threshold
253,9,12,S,Operating within expected limits
254,9,13,S,Routine inspection passed
255,9,14,S,Routine inspection passed
256,9,15,S,No actionable issues identified
257,9,16,S,Routine inspection passed
258,9,17,S,Routine inspection passed
259,9,18,S,Routine inspection passed
260,9,19,S,No actionable issues identified
261,9,20,S,Operating within expected limits
262,9,21,S,Routine inspection passed
263,9,22,S,No actionable issues identified
264,9,23,U,Observed variance requiring monitoring
265,9,24,S,No actionable issues identified
266,9,25,S,Routine inspection passed
267,9,26,S,Routine inspection passed
268,9,27,S,Operating within expected limits
269,9,28,S,No actionable issues identified
270,9,29,S,Operating within expected limits
271,9,30,S,Operating within expected limits
272,9,31,S,No actionable issues identified
273,9,32,S,Operating within expected limits
274,9,33,S,No actionable issues identified
275,9,34,S,Operating within expected limits
276,9,35,S,No actionable issues identified
277,9,36,S,Operating within expected limits
278,9,37,S,Operating within expected limits
279,9,38,S,Routine inspection passed
280,9,39,S,No actionable issues identified
281,9,40,U,Flagged for maintenance review
282,9,41,S,Routine inspection passed
283,9,42,S,Operating within expected limits
284,9,43,S,Operating within expected limits
285,9,44,S,No actionable issues identified
286,9,45,S,No actionable issues identified
287,9,46,U,Flagged for maintenance review
288,9,47,S,Operating within expected limits
289,9,48,S,No actionable issues identified
290,9,49,S,No actionable issues identified
291,9,50,S,Operating within expected limits
292,9,51,S,Operating within expected limits
293,9,52,S,No actionable issues identified
294,9,53,S,No actionable issues identified
295,9,54,S,Routine inspection passed
296,9,55,S,Routine inspection passed
297,9,56,S,No actionable issues identified
298,10,9,S,Operating within expected limits
299,10,10,S,Routine inspection passed
300,10,11,S,Routine inspection passed
301,10,12,S,Routine inspection passed
302,10,13,U,Condition outside preferred threshold
303,10,14,S,No actionable issues identified
304,10,15,S,No actionable issues identified
305,10,16,S,No actionable issues identified
306,10,17,S,Routine inspection passed
307,10,18,S,Routine inspection passed
308,10,19,S,Operating within expected limits
309,10,20,S,No actionable issues identified
310,10,21,U,Condition outside preferred threshold
311,10,22,S,Operating within expected limits
312,10,23,S,Routine inspection passed
313,10,24,S,Routine inspection passed
314,10,25,S,No actionable issues identified
315,10,26,S,Operating within expected limits
316,10,27,S,Routine inspection passed
317,10,28,S,Routine inspection passed
318,10,29,U,Condition outside preferred threshold
319,10,30,S,Routine inspection passed
320,10,31,S,No actionable issues identified
321,10,32,S,No actionable issues identified
322,10,33,S,Operating within expected limits
323,10,34,U,Observed variance requiring monitoring
324,10,35,S,Operating within expected limits
325,10,36,S,Routine inspection passed
326,10,37,S,Operating within expected limits
327,10,38,S,Operating within expected limits
328,10,39,S,Routine inspection passed
329,10,40,S,Operating within expected limits
330,10,41,S,Operating within expected limits
331,10,42,S,Operating within expected limits
332,10,43,S,Operating within expected limits
333,10,44,S,No actionable issues identified
334,10,45,S,Routine inspection passed
335,10,46,S,Routine inspection passed
336,10,47,U,Observed variance requiring monitoring
337,10,48,S,No actionable issues identified
338,10,49,S,Operating within expected limits
339,10,50,S,Routine inspection passed
340,10,51,S,Routine inspection passed
341,10,52,S,Routine inspection passed
342,10,53,S,No actionable issues identified
343,10,54,S,Operating within expected limits
344,10,55,S,Operating within expected limits
345,10,56,S,Routine inspection passed
346,11,9,S,Operating within expected limits
347,11,10,S,Routine inspection passed
348,11,11,S,Operating within expected limits
349,11,12,S,Operating within expected limits
350,11,13,S,Operating within expected limits
351,11,14,S,Routine inspection passed
352,11,15,S,Routine inspection passed
353,11,16,S,Routine inspection passed
354,11,17,S,No actionable issues identified
355,11,18,S,No actionable issues identified
356,11,19,S,No actionable issues identified
357,11,20,S,Routine inspection passed
358,11,21,S,No actionable issues identified
359,11,22,S,Routine inspection passed
360,11,23,S,No actionable issues identified
361,11,24,S,Routine inspection passed
362,11,25,S,Operating within expected limits
363,11,26,S,Routine inspection passed
364,11,27,S,No actionable issues identified
365,11,28,S,Operating within expected limits
366,11,29,S,Operating within expected limits
367,11,30,S,Operating within expected limits
368,11,31,S,No actionable issues identified
369,11,32,S,Operating within expected limits
370,11,33,S,No actionable issues identified
371,11,34,S,No actionable issues identified
372,11,35,S,Operating within expected limits
373,11,36,S,Operating within expected limits
374,11,37,S,No actionable issues identified
375,11,38,S,No actionable issues identified
376,11,39,S,Routine inspection passed
377,11,40,S,Routine inspection passed
378,11,41,S,Operating within expected limits
379,11,42,S,No actionable issues identified
380,11,43,S,Routine inspection passed
381,11,44,U,Observed variance requiring monitoring
382,11,45,S,No actionable issues identified
383,11,46,S,No actionable issues identified
384,11,47,S,Routine inspection passed
385,11,48,S,Routine inspection passed
386,11,49,S,No actionable issues identified
387,11,50,S,Routine inspection passed
388,11,51,S,Routine inspection passed
389,11,52,S,Operating within expected limits
390,11,53,S,Operating within expected limits
391,11,54,U,Flagged for maintenance review
392,11,55,U,Condition outside preferred threshold
393,11,56,S,Routine inspection passed
394,12,9,S,No actionable issues identified
395,12,10,S,Routine inspection passed
396,12,11,S,Routine inspection passed
397,12,12,S,Operating within expected limits
398,12,13,S,No actionable issues identified
399,12,14,S,No actionable issues identified
400,12,15,S,No actionable issues identified
401,12,16,S,Routine inspection passed
402,12,17,S,Operating within expected limits
403,12,18,S,Operating within expected limits
404,12,19,S,No actionable issues identified
405,12,20,S,No actionable issues identified
406,12,21,S,No actionable issues identified
407,12,22,S,Operating within expected limits
408,12,23,U,Observed variance requiring monitoring
409,12,24,S,Operating within expected limits
410,12,25,S,No actionable issues identified
411,12,26,S,Routine inspection passed
412,12,27,S,Routine inspection passed
413,12,28,S,Routine inspection passed
414,12,29,S,Routine inspection passed
415,12,30,S,Operating within expected limits
416,12,31,S,Operating within expected limits
417,12,32,S,Operating within expected limits
418,12,33,S,Operating within expected limits
419,12,34,S,Operating within expected limits
420,12,35,S,No actionable issues identified
421,12,36,S,Operating within expected limits
422,12,37,S,No actionable issues identified
423,12,38,U,Flagged for maintenance review
424,12,39,S,Operating within expected limits
425,12,40,S,Routine inspection passed
426,12,41,S,No actionable issues identified
427,12,42,S,Routine inspection passed
428,12,43,S,No actionable issues identified
429,12,44,S,Routine inspection passed
430,12,45,S,Operating within expected limits
431,12,46,S,Operating within expected limits
432,12,47,S,No actionable issues identified
433,12,48,S,Operating within expected limits
434,12,49,S,Routine inspection passed
435,12,50,S,Routine inspection passed
436,12,51,S,Routine inspection passed
437,12,52,U,Flagged for maintenance review
438,12,53,S,Routine inspection passed
439,12,54,S,No actionable issues identified
440,12,55,S,Routine inspection passed
441,12,56,S,Operating within expected limits
442,13,9,S,Routine inspection passed
443,13,10,S,No actionable issues identified
444,13,11,S,No actionable issues identified
445,13,12,S,Routine inspection passed
446,13,13,S,Operating within expected limits
447,13,14,S,No actionable issues identified
448,13,15,S,No actionable issues identified
449,13,16,S,No actionable issues identified
450,13,17,S,No actionable issues identified
451,13,18,S,Routine inspection passed
452,13,19,S,Operating within expected limits
453,13,20,S,Operating within expected limits
454,13,21,S,Routine inspection passed
455,13,22,S,No actionable issues identified
456,13,23,S,Routine inspection passed
457,13,24,S,No actionable issues identified
458,13,25,S,Operating within expected limits
459,13,26,S,Operating within expected limits
460,13,27,S,Operating within expected limits
461,13,28,S,No actionable issues identified
462,13,29,S,Operating within expected limits
463,13,30,S,Operating within expected limits
464,13,31,S,No actionable issues identified
465,13,32,S,Routine inspection passed
466,13,33,S,No actionable issues identified
467,13,34,S,Routine inspection passed
468,13,35,S,Operating within expected limits
469,13,36,S,Operating within expected limits
470,13,37,S,Routine inspection passed
471,13,38,S,Routine inspection passed
472,13,39,S,No actionable issues identified
473,13,40,S,No actionable issues identified
474,13,41,S,Routine inspection passed
475,13,42,S,No actionable issues identified
476,13,43,S,Routine inspection passed
477,13,44,S,Routine inspection passed
478,13,45,U,Observed variance requiring monitoring
479,13,46,S,No actionable issues identified
480,13,47,S,Routine inspection passed
481,13,48,S,No actionable issues identified
482,13,49,S,Routine inspection passed
483,13,50,S,Routine inspection passed
484,13,51,S,Routine inspection passed
485,13,52,S,Operating within expected limits
486,13,53,S,Operating within expected limits
487,13,54,S,Operating within expected limits
488,13,55,U,Observed variance requiring monitoring
489,13,56,S,Routine inspection passed
490,14,9,S,No actionable issues identified
491,14,10,U,Observed variance requiring monitoring
492,14,11,U,Observed variance requiring monitoring
493,14,12,S,Routine inspection passed
494,14,13,S,No actionable issues identified
495,14,14,S,Routine inspection passed
496,14,15,S,Operating within expected limits
497,14,16,S,No actionable issues identified
498,14,17,S,Operating within expected limits
499,14,18,S,No actionable issues identified
500,14,19,S,Operating within expected limits
501,14,20,S,No actionable issues identified
502,14,21,S,No actionable issues identified
503,14,22,S,Routine inspection passed
504,14,23,U,Flagged for maintenance review
505,14,24,S,Routine inspection passed
506,14,25,S,Operating within expected limits
507,14,26,S,No actionable issues identified
508,14,27,S,Operating within expected limits
509,14,28,S,No actionable issues identified
510,14,29,S,Operating within expected limits
511,14,30,S,Routine inspection passed
512,14,31,S,Routine inspection passed
513,14,32,S,Routine inspection passed
514,14,33,S,No actionable issues identified
515,14,34,S,No actionable issues identified
516,14,35,S,Routine inspection passed
517,14,36,S,Routine inspection passed
518,14,37,S,No actionable issues identified
519,14,38,S,Operating within expected limits
520,14,39,S,Operating within expected limits
521,14,40,S,No actionable issues identified
522,14,41,S,Routine inspection passed
523,14,42,S,No actionable issues identified
524,14,43,S,Routine inspection passed
525,14,44,U,Condition outside preferred threshold
526,14,45,S,Operating within expected limits
527,14,46,U,Condition outside preferred threshold
528,14,47,S,Routine inspection passed
529,14,48,S,No actionable issues identified
530,14,49,S,No actionable issues identified
531,14,50,S,Operating within expected limits
532,14,51,S,Operating within expected limits
533,14,52,S,Operating within expected limits
534,14,53,S,Operating within expected limits
535,14,54,S,No actionable issues identified
536,14,55,S,Routine inspection passed
537,14,56,S,No actionable issues identified
538,15,9,S,No actionable issues identified
539,15,10,U,Flagged for maintenance review
540,15,11,U,Condition outside preferred threshold
541,15,12,S,Routine inspection passed
542,15,13,S,Operating within expected limits
543,15,14,S,No actionable issues identified
544,15,15,S,Routine inspection passed
545,15,16,S,Operating within expected limits
546,15,17,S,Routine inspection passed
547,15,18,S,No actionable issues identified
548,15,19,S,No actionable issues identified
549,15,20,U,Flagged for maintenance review
550,15,21,S,Operating within expected limits
551,15,22,S,Routine inspection passed
552,15,23,S,Operating within expected limits
553,15,24,S,Operating within expected limits
554,15,25,S,No actionable issues identified
555,15,26,S,No actionable issues identified
556,15,27,S,Routine inspection passed
557,15,28,S,No actionable issues identified
558,15,29,U,Flagged for maintenance review
559,15,30,S,Routine inspection passed
560,15,31,S,Routine inspection passed
561,15,32,S,No actionable issues identified
562,15,33,S,No actionable issues identified
563,15,34,S,Routine inspection passed
564,15,35,U,Observed variance requiring monitoring
565,15,36,S,Routine inspection passed
566,15,37,S,Routine inspection passed
567,15,38,S,Routine inspection passed
568,15,39,S,Routine inspection passed
569,15,40,S,No actionable issues identified
570,15,41,S,No actionable issues identified
571,15,42,S,Routine inspection passed
572,15,43,S,Operating within expected limits
573,15,44,S,Operating within expected limits
574,15,45,S,No actionable issues identified
575,15,46,S,No actionable issues identified
576,15,47,U,Observed variance requiring monitoring
577,15,48,S,No actionable issues identified
578,15,49,S,Routine inspection passed
579,15,50,S,No actionable issues identified
580,15,51,S,No actionable issues identified
581,15,52,S,Operating within expected limits
582,15,53,S,Operating within expected limits
583,15,54,S,No actionable issues identified
584,15,55,S,Routine inspection passed
585,15,56,S,Routine inspection passed
586,16,9,S,Operating within expected limits
587,16,10,S,No actionable issues identified
588,16,11,S,Routine inspection passed
589,16,12,S,No actionable issues identified
590,16,13,S,Operating within expected limits
591,16,14,S,Operating within expected limits
592,16,15,S,Operating within expected limits
593,16,16,S,Routine inspection passed
594,16,17,S,Operating within expected limits
595,16,18,S,Routine inspection passed
596,16,19,S,Operating within expected limits
597,16,20,S,Operating within expected limits
598,16,21,U,Observed variance requiring monitoring
599,16,22,S,No actionable issues identified
600,16,23,S,Routine inspection passed
601,16,24,S,No actionable issues identified
602,16,25,S,Operating within expected limits
603,16,26,S,Operating within expected limits
604,16,27,S,Operating within expected limits
605,16,28,S,No actionable issues identified
606,16,29,S,Routine inspection passed
607,16,30,S,No actionable issues identified
608,16,31,U,Condition outside preferred threshold
609,16,32,S,Routine inspection passed
610,16,33,S,Routine inspection passed
611,16,34,S,No actionable issues identified
612,16,35,S,Routine inspection passed
613,16,36,S,Routine inspection passed
614,16,37,S,Operating within expected limits
615,16,38,S,No actionable issues identified
616,16,39,S,Routine inspection passed
617,16,40,S,No actionable issues identified
618,16,41,S,Routine inspection passed
619,16,42,S,Operating within expected limits
620,16,43,S,Routine inspection passed
621,16,44,S,Operating within expected limits
622,16,45,S,Routine inspection passed
623,16,46,U,Flagged for maintenance review
624,16,47,S,Operating within expected limits
625,16,48,U,Flagged for maintenance review
626,16,49,S,Routine inspection passed
627,16,50,S,Operating within expected limits
628,16,51,S,Routine inspection passed
629,16,52,S,Operating within expected limits
630,16,53,S,Operating within expected limits
631,16,54,S,Operating within expected limits
632,16,55,S,Operating within expected limits
633,16,56,S,Operating within expected limits
634,17,9,S,Operating within expected limits
635,17,10,S,Operating within expected limits
636,17,11,S,Operating within expected limits
637,17,12,S,No actionable issues identified
638,17,13,S,No actionable issues identified
639,17,14,S,Operating within expected limits
640,17,15,S,Routine inspection passed
641,17,16,S,No actionable issues identified
642,17,17,S,Operating within expected limits
643,17,18,S,Routine inspection passed
644,17,19,S,Operating within expected limits
645,17,20,S,No actionable issues identified
646,17,21,S,Routine inspection passed
647,17,22,S,Operating within expected limits
648,17,23,S,No actionable issues identified
649,17,24,S,Routine inspection passed
650,17,25,S,No actionable issues identified
651,17,26,U,Condition outside preferred threshold
652,17,27,S,Routine inspection passed
653,17,28,U,Observed variance requiring monitoring
654,17,29,S,No actionable issues identified
655,17,30,S,Routine inspection passed
656,17,31,S,Operating within expected limits
657,17,32,S,No actionable issues identified
658,17,33,S,Operating within expected limits
659,17,34,S,Operating within expected limits
660,17,35,S,Operating within expected limits
661,17,36,S,Operating within expected limits
662,17,37,S,No actionable issues identified
663,17,38,S,Routine inspection passed
664,17,39,U,Flagged for maintenance review
665,17,40,S,Routine inspection passed
666,17,41,S,Operating within expected limits
667,17,42,S,Operating within expected limits
668,17,43,S,Routine inspection passed
669,17,44,S,Operating within expected limits
670,17,45,S,No actionable issues identified
671,17,46,S,No actionable issues identified
672,17,47,U,Observed variance requiring monitoring
673,17,48,S,Operating within expected limits
674,17,49,U,Flagged for maintenance review
675,17,50,S,No actionable issues identified
676,17,51,S,Routine inspection passed
677,17,52,S,No actionable issues identified
678,17,53,S,Routine inspection passed
679,17,54,S,No actionable issues identified
680,17,55,S,No actionable issues identified
681,17,56,U,Observed variance requiring monitoring
682,18,9,S,Operating within expected limits
683,18,10,S,Operating within expected limits
684,18,11,S,Routine inspection passed
685,18,12,S,Operating within expected limits
686,18,13,S,Operating within expected limits
687,18,14,S,Routine inspection passed
688,18,15,S,No actionable issues identified
689,18,16,S,No actionable issues identified
690,18,17,S,Routine inspection passed
691,18,18,S,No actionable issues identified
692,18,19,S,Routine inspection passed
693,18,20,S,No actionable issues identified
694,18,21,S,Routine inspection passed
695,18,22,S,No actionable issues identified
696,18,23,U,Observed variance requiring monitoring
697,18,24,S,Operating within expected limits
698,18,25,S,No actionable issues identified
699,18,26,S,Operating within expected limits
700,18,27,S,No actionable issues identified
701,18,28,S,Operating within expected limits
702,18,29,S,Routine inspection passed
703,18,30,S,No actionable issues identified
704,18,31,S,Routine inspection passed
705,18,32,S,Operating within expected limits
706,18,33,S,Routine inspection passed
707,18,34,S,No actionable issues identified
708,18,35,U,Flagged for maintenance review
709,18,36,S,No actionable issues identified
710,18,37,S,Routine inspection passed
711,18,38,S,Routine inspection passed
712,18,39,S,Routine inspection passed
713,18,40,S,No actionable issues identified
714,18,41,S,Routine inspection passed
715,18,42,S,No actionable issues identified
716,18,43,S,No actionable issues identified
717,18,44,S,No actionable issues identified
718,18,45,U,Condition outside preferred threshold
719,18,46,S,Routine inspection passed
720,18,47,S,No actionable issues identified
721,18,48,S,Routine inspection passed
722,18,49,S,Operating within expected limits
723,18,50,S,Operating within expected limits
724,18,51,S,Routine inspection passed
725,18,52,S,No actionable issues identified
726,18,53,U,Condition outside preferred threshold
727,18,54,S,Routine inspection passed
728,18,55,S,Routine inspection passed
729,18,56,S,No actionable issues identified
730,19,9,S,Operating within expected limits
731,19,10,S,Routine inspection passed
732,19,11,S,No actionable issues identified
733,19,12,S,Operating within expected limits
734,19,13,S,Operating within expected limits
735,19,14,S,No actionable issues identified
736,19,15,S,No actionable issues identified
737,19,16,S,No actionable issues identified
738,19,17,S,Routine inspection passed
739,19,18,U,Observed variance requiring monitoring
740,19,19,S,Operating within expected limits
741,19,20,S,No actionable issues identified
742,19,21,S,No actionable issues identified
743,19,22,S,Operating within expected limits
744,19,23,S,Operating within expected limits
745,19,24,S,No actionable issues identified
746,19,25,S,No actionable issues identified
747,19,26,S,Routine inspection passed
748,19,27,S,Operating within expected limits
749,19,28,S,Operating within expected limits
750,19,29,S,Operating within expected limits
751,19,30,S,No actionable issues identified
752,19,31,S,Routine inspection passed
753,19,32,S,No actionable issues identified
754,19,33,S,No actionable issues identified
755,19,34,S,Operating within expected limits
756,19,35,S,Routine inspection passed
757,19,36,S,Operating within expected limits
758,19,37,S,No actionable issues identified
759,19,38,S,No actionable issues identified
760,19,39,S,Operating within expected limits
761,19,40,S,No actionable issues identified
762,19,41,S,Operating within expected limits
763,19,42,S,Operating within expected limits
764,19,43,U,Condition outside preferred threshold
765,19,44,S,Routine inspection passed
766,19,45,S,No actionable issues identified
767,19,46,S,Operating within expected limits
768,19,47,S,Operating within expected limits
769,19,48,S,Operating within expected limits
770,19,49,S,Operating within expected limits
771,19,50,S,No actionable issues identified
772,19,51,U,Observed variance requiring monitoring
773,19,52,S,Routine inspection passed
774,19,53,S,Routine inspection passed
775,19,54,S,Routine inspection passed
776,19,55,S,Operating within expected limits
777,19,56,S,Operating within expected limits
778,20,9,S,Operating within expected limits
779,20,10,S,Operating within expected limits
780,20,11,S,Routine inspection passed
781,20,12,S,Operating within expected limits
782,20,13,S,Routine inspection passed
783,20,14,S,Routine inspection passed
784,20,15,S,Routine inspection passed
785,20,16,S,Operating within expected limits
786,20,17,S,No actionable issues identified
787,20,18,S,No actionable issues identified
788,20,19,S,No actionable issues identified
789,20,20,S,No actionable issues identified
790,20,21,S,Routine inspection passed
791,20,22,S,No actionable issues identified
792,20,23,S,Routine inspection passed
793,20,24,S,Operating within expected limits
794,20,25,S,Routine inspection passed
795,20,26,S,Operating within expected limits
796,20,27,S,Operating within expected limits
797,20,28,S,Operating within expected limits
798,20,29,U,Condition outside preferred threshold
799,20,30,S,No actionable issues identified
800,20,31,S,No actionable issues identified
801,20,32,S,Operating within expected limits
802,20,33,S,Routine inspection passed
803,20,34,S,Operating within expected limits
804,20,35,S,Routine inspection passed
805,20,36,S,Operating within expected limits
806,20,37,S,Routine inspection passed
807,20,38,S,No actionable issues identified
