workflow_id,inspection_id,inspection_date,inspection_status,from_role,to_role,action,comments,acted_by_user_id,acted_by_username,acted_by_role,acted_at
99,40,2025-12-17,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-17T09:30:00
100,40,2025-12-17,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-17T10:30:00
101,40,2025-12-17,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-17T11:30:00
102,41,2025-12-17,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-17T21:30:00
103,41,2025-12-17,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-17T22:30:00
104,41,2025-12-17,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-17T23:30:00
105,42,2025-12-18,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-18T09:30:00
106,42,2025-12-18,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-18T10:30:00
107,42,2025-12-18,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-18T11:30:00
108,43,2025-12-18,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-18T21:30:00
109,43,2025-12-18,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-18T22:30:00
110,43,2025-12-18,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-18T23:30:00
111,44,2025-12-19,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-19T09:30:00
112,44,2025-12-19,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-19T10:30:00
113,44,2025-12-19,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-19T11:30:00
114,45,2025-12-19,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-19T21:30:00
115,45,2025-12-19,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-19T22:30:00
116,45,2025-12-19,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-19T23:30:00
117,46,2025-12-20,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-20T09:30:00
118,47,2025-12-20,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-20T21:30:00
119,47,2025-12-20,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-20T22:30:00
120,47,2025-12-20,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-20T23:30:00
121,48,2025-12-21,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-21T09:30:00
122,48,2025-12-21,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-21T10:30:00
123,48,2025-12-21,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-21T11:30:00
124,49,2025-12-21,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-21T21:30:00
125,49,2025-12-21,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-21T22:30:00
126,49,2025-12-21,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-21T23:30:00
127,50,2025-12-22,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-22T09:30:00
128,50,2025-12-22,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-22T10:30:00
129,50,2025-12-22,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-22T11:30:00
130,51,2025-12-22,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-22T21:30:00
131,51,2025-12-22,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-22T22:30:00
132,51,2025-12-22,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-22T23:30:00
133,52,2025-12-23,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-23T09:30:00
134,52,2025-12-23,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-23T10:30:00
135,52,2025-12-23,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-23T11:30:00
136,53,2025-12-23,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-23T21:30:00
137,53,2025-12-23,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-23T22:30:00
138,53,2025-12-23,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-23T23:30:00
139,54,2025-12-24,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-24T09:30:00
140,54,2025-12-24,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-24T10:30:00
141,54,2025-12-24,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-24T11:30:00
142,55,2025-12-24,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-24T21:30:00
143,55,2025-12-24,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-24T22:30:00
144,55,2025-12-24,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-24T23:30:00
145,56,2025-12-25,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-25T09:30:00
146,56,2025-12-25,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-25T10:30:00
147,56,2025-12-25,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-25T11:30:00
148,57,2025-12-25,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-25T21:30:00
149,57,2025-12-25,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-25T22:30:00
150,57,2025-12-25,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-25T23:30:00
151,58,2025-12-26,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-26T09:30:00
152,59,2025-12-26,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-26T21:30:00
153,59,2025-12-26,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-26T22:30:00
154,59,2025-12-26,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-26T23:30:00
155,60,2025-12-27,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-27T09:30:00
156,60,2025-12-27,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-27T10:30:00
157,60,2025-12-27,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-27T11:30:00
158,61,2025-12-27,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-27T21:30:00
159,61,2025-12-27,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-27T22:30:00
160,61,2025-12-27,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-27T23:30:00
161,62,2025-12-28,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-28T09:30:00
162,62,2025-12-28,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-28T10:30:00
163,62,2025-12-28,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-28T11:30:00
164,63,2025-12-28,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-28T21:30:00
165,64,2025-12-29,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-29T09:30:00
166,64,2025-12-29,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-29T10:30:00
167,64,2025-12-29,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-29T11:30:00
168,65,2025-12-29,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-29T21:30:00
169,65,2025-12-29,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-29T22:30:00
170,65,2025-12-29,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-29T23:30:00
171,66,2025-12-30,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-30T09:30:00
172,66,2025-12-30,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-30T10:30:00
173,66,2025-12-30,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-30T11:30:00
174,67,2025-12-30,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-30T21:30:00
175,67,2025-12-30,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-30T22:30:00
176,67,2025-12-30,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-30T23:30:00
177,68,2025-12-31,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2025-12-31T09:30:00
178,68,2025-12-31,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2025-12-31T10:30:00
179,68,2025-12-31,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-31T11:30:00
180,69,2025-12-31,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2025-12-31T21:30:00
181,69,2025-12-31,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2025-12-31T22:30:00
182,69,2025-12-31,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2025-12-31T23:30:00
183,70,2026-01-01,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2026-01-01T09:30:00
184,70,2026-01-01,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2026-01-01T10:30:00
185,70,2026-01-01,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-01T11:30:00
186,71,2026-01-01,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2026-01-01T21:30:00
187,72,2026-01-02,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2026-01-02T09:30:00
188,72,2026-01-02,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2026-01-02T10:30:00
189,72,2026-01-02,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-02T11:30:00
190,73,2026-01-02,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2026-01-02T21:30:00
191,73,2026-01-02,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2026-01-02T22:30:00
192,73,2026-01-02,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-02T23:30:00
193,74,2026-01-03,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2026-01-03T09:30:00
194,74,2026-01-03,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2026-01-03T10:30:00
195,74,2026-01-03,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-03T11:30:00
196,75,2026-01-03,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2026-01-03T21:30:00
197,75,2026-01-03,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2026-01-03T22:30:00
198,75,2026-01-03,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-03T23:30:00
199,76,2026-01-04,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,10,tableau_supervisor01,supervisor,2026-01-04T09:30:00
200,76,2026-01-04,completed,reviewer,manager,approved,Reviewer validated findings and measurements,11,tableau_reviewer01,reviewer,2026-01-04T10:30:00
201,76,2026-01-04,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-04T11:30:00
202,77,2026-01-04,rejected,supervisor,creator,rejected,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2026-01-04T21:30:00
203,78,2026-01-05,completed,supervisor,reviewer,approved,Supervisor reviewed inspection package,12,tableau_supervisor02,supervisor,2026-01-05T09:30:00
204,78,2026-01-05,completed,reviewer,manager,approved,Reviewer validated findings and measurements,13,tableau_reviewer02,reviewer,2026-01-05T10:30:00
205,78,2026-01-05,completed,manager,completed,approved,Manager closed the inspection successfully,14,tableau_manager01,manager,2026-01-05T11:30:00
